[OBJECTS]
# type	x	y	extra_settings per object type
# type: 1 = Brick, 2 = Torch, 3 = Gate, 4 = Stairs

#Brick
1	16	441	3
1	16	409	3
1	16	377	3
1	16	345	3
1	16	313	3
1	16	281	3
1	16	249	3
1	48	249	3

1	16	121	3
1	16	89	3

1	144	313	3
1	176	313	3

1	208	249	3
1	240	249	3
1	272	249	3
1	304	249	3

1	272	281	3
1	304	281	3
1	272	313	3
1	304	313	3
1	272	345	3
1	304	345	3
1	272	377	3
1	304	377	3
1	272	409	3
1	304	409	3
1	272	441	3
1	304	441	3

1	400	249	3
1	432	249	3
1	464	249	3
1	496	249	3
1	528	249	3
1	560	249	3

1	464	281	3
1	496	281	3
1	528	281	3
1	464	313	3
1	496	313	3
1	528	313	3
1	464	345	3
1	496	345	3
1	528	345	3
1	464	377	3
1	496	377	3
1	528	377	3
1	464	409	3
1	496	409	3
1	528	409	3
1	464	441	3
1	496	441	3
1	528	441	3

1	592	313	3
1	624	313	3

1	656	377	3
1	688	377	3

1	720	249	3
1	752	249	3
1	784	249	3
1	816	249	3
1	848	249	3
1	880	249	3

1	720	281	3
1	752	281	3
1	720	313	3
1	752	313	3
1	720	345	3
1	752	345	3
1	720	377	3
1	752	377	3

1	944	313	3

1	976	89	3
1	976	121	3
1	976	153	3
1	976	185	3
1	976	217	3
1	976	249	3
1	976	281	3
1	976	313	3
1	976	345	3
1	976	377	3
1	976	409	3
1	976	441	3

1	1008	89	3
1	1008	121	3
1	1008	153	3
1	1008	185	3
1	1008	217	3
1	1008	249	3
1	1008	281	3
1	1008	313	3
1	1008	345	3
1	1008	377	3
1	1008	409	3
1	1008	441	3
